longitude,latitude,elevation
-123.002079,38.713957,142.3
-123.002086,38.713947,142.6
-123.002098,38.713938,142.8
-123.002107,38.713931,143.0
-123.00211,38.713923,143.2
-123.002116,38.713919,143.3
-123.002119,38.713917,143.4
-123.002125,38.713913,143.5
-123.002132,38.713907,143.6
-123.002138,38.7139,143.8
-123.002146,38.713896,143.9
-123.002152,38.713893,144.0
-123.002156,38.713893,144.1
-123.00216,38.713892,144.1
-123.002166,38.713889,144.2
-123.002168,38.713888,144.2
-123.002169,38.713886,144.2
-123.002173,38.713884,144.3
-123.002181,38.713888,144.4
-123.002186,38.713891,144.4
-123.002195,38.713893,144.5
-123.002203,38.713895,144.6
-123.002214,38.713899,144.7
-123.002225,38.713902,144.8
-123.002235,38.713906,144.9
-123.002244,38.71391,145.0
-123.00225,38.713914,145.1
-123.002261,38.713916,145.2
-123.002271,38.713922,145.2
-123.002278,38.713927,145.3
-123.002283,38.713936,145.4
-123.002281,38.713945,145.5
-123.002278,38.713953,145.6
-123.002279,38.713959,145.6
-123.00228,38.713965,145.7
-123.002278,38.713969,145.7
-123.002277,38.713973,145.8
-123.002278,38.713982,145.8
-123.002279,38.713993,145.9
-123.002287,38.714005,146.1
-123.002297,38.714019,146.3
-123.002306,38.71403,146.4
-123.002318,38.714038,146.5
-123.002328,38.714045,146.7
-123.002339,38.714053,146.8
-123.002348,38.714062,147.0
-123.002358,38.71407,147.1
-123.002367,38.714076,147.3
-123.002375,38.714081,147.4
-123.002383,38.714086,147.5
-123.002393,38.714094,147.6
-123.002404,38.7141,147.8
-123.002415,38.714107,148.0
-123.002431,38.714115,148.2
-123.002443,38.714119,148.3
-123.002453,38.714127,148.5
-123.002464,38.714134,148.7
-123.002476,38.714139,148.8
-123.002491,38.714144,149.0
-123.002506,38.714151,149.2
-123.00252,38.714157,149.4
-123.002537,38.714161,149.6
-123.002544,38.714172,149.8
-123.00256,38.714179,150.0
-123.002576,38.714178,150.1
-123.002593,38.714177,150.3
-123.002607,38.714176,150.4
-123.002622,38.714172,150.6
-123.002634,38.714168,150.7
-123.002649,38.714166,150.9
-123.00266,38.714164,151.0
-123.00267,38.71416,151.1
-123.002682,38.714159,151.2
-123.00269,38.714158,151.3
-123.002701,38.714155,151.4
-123.002713,38.714153,151.5
-123.002727,38.714151,151.6
-123.002745,38.714145,151.8
-123.002764,38.714142,152.0
-123.002779,38.714139,152.1
-123.002794,38.714134,152.2
-123.002809,38.714131,152.4
-123.002822,38.714129,152.5
-123.002833,38.714127,152.6
-123.002842,38.714124,152.6
-123.002852,38.714124,152.7
-123.002862,38.714121,152.8
-123.002875,38.714118,152.9
-123.002886,38.714113,153.0
-123.002898,38.714107,153.1
-123.002911,38.714102,153.2
-123.002929,38.714099,153.4
-123.002943,38.714095,153.5
-123.002956,38.714094,153.6
-123.002973,38.714094,153.8
-123.002987,38.714091,153.9
-123.003003,38.714087,154.0
-123.003018,38.714085,154.1
-123.003034,38.714078,154.3
-123.003052,38.714073,154.5
-123.003066,38.714067,154.6
-123.003081,38.714065,154.7
-123.003098,38.714063,154.9
-123.003112,38.71406,155.0
-123.003126,38.714057,155.2
-123.003141,38.714052,155.3
-123.003158,38.714043,155.5
-123.003173,38.714038,155.7
-123.00319,38.714031,155.8
-123.003204,38.714026,156.0
-123.003222,38.71402,156.2
-123.003237,38.714015,156.3
-123.003249,38.714008,156.5
-123.00326,38.713997,156.6
-123.00327,38.713988,156.8
-123.003279,38.713979,156.9
-123.003287,38.713968,157.1
-123.003294,38.713958,157.2
-123.003303,38.71395,157.4
-123.003315,38.713943,157.5
-123.003327,38.713934,157.6
-123.003338,38.713927,157.8
-123.003349,38.71392,157.9
-123.003361,38.713912,158.0
-123.003373,38.713905,158.2
-123.003385,38.7139,158.3
-123.003399,38.713894,158.4
-123.003418,38.713891,158.6
-123.003435,38.713889,158.7
-123.003452,38.713886,158.9
-123.003469,38.713881,159.1
-123.003486,38.713872,159.2
-123.003502,38.713868,159.4
-123.003518,38.713864,159.5
-123.003539,38.713858,159.7
-123.003555,38.713853,159.9
-123.003569,38.71385,160.0
-123.003585,38.713846,160.2
-123.003602,38.713841,160.3
-123.003619,38.713835,160.5
-123.003644,38.713834,160.7
-123.003667,38.713832,160.8
-123.003688,38.713829,161.0
-123.00371,38.713826,161.2
-123.003728,38.713821,161.3
-123.003744,38.713817,161.4
-123.003758,38.713814,161.5
-123.003775,38.713812,161.6
-123.003796,38.713808,161.7
-123.003815,38.713803,161.8
-123.003836,38.713798,162.0
-123.003853,38.713791,162.1
-123.003868,38.713785,162.2
-123.003881,38.713778,162.3
-123.003897,38.713769,162.4
-123.003911,38.713762,162.6
-123.003925,38.713754,162.7
-123.00394,38.713745,162.9
-123.003959,38.713734,163.1
-123.003976,38.713728,163.3
-123.003994,38.713722,163.5
-123.004007,38.713714,163.7
-123.00402,38.713706,163.9
-123.004034,38.7137,164.1
-123.004045,38.713692,164.3
-123.004054,38.713688,164.5
-123.004064,38.713684,164.6
-123.004072,38.713675,164.8
-123.004081,38.713669,165.0
-123.00409,38.713664,165.2
-123.004101,38.713659,165.4
-123.004113,38.713655,165.6
-123.004121,38.713651,165.7
-123.004127,38.713646,165.8
-123.004136,38.713643,166.0
-123.004153,38.71364,166.2
-123.004161,38.713635,166.4
-123.004166,38.713628,166.6
-123.004173,38.713623,166.7
-123.004175,38.713615,166.9
-123.004174,38.71361,167.0
-123.004168,38.713609,167.1
-123.00416,38.713612,167.2
-123.004154,38.713617,167.4
-123.004146,38.713621,167.5
-123.004137,38.713623,167.7
-123.004127,38.713626,167.8
-123.004115,38.713623,168.0
-123.004104,38.713623,168.2
-123.004091,38.713624,168.4
-123.004082,38.713624,168.6
-123.00407,38.713625,168.7
-123.004059,38.713624,168.9
-123.004045,38.713623,169.1
-123.004033,38.713621,169.4
-123.00402,38.713621,169.6
-123.004011,38.713617,169.7
-123.004002,38.713614,169.9
-123.003991,38.713615,170.1
-123.003981,38.713617,170.3
-123.003975,38.713618,170.4
-123.003964,38.713613,170.6
-123.003956,38.713613,170.8
-123.003945,38.713611,171.0
-123.003934,38.713607,171.2
-123.003922,38.713603,171.4
-123.003909,38.713601,171.7
-123.003898,38.713598,171.9
-123.003886,38.713597,172.1
-123.003876,38.713594,172.3
-123.003861,38.71359,172.6
-123.003851,38.713588,172.8
-123.003838,38.713586,173.1
-123.003827,38.713583,173.3
-123.003818,38.713581,173.5
-123.003812,38.713579,173.6
-123.003801,38.713579,173.8
-123.003792,38.713578,174.0
-123.00378,38.713577,174.2
-123.003769,38.713577,174.4
-123.003759,38.713579,174.6
-123.003748,38.713583,174.8
-123.003739,38.713581,174.9
-123.003731,38.713579,175.1
-123.003725,38.713573,175.3
-123.003719,38.71357,175.4
-123.003714,38.713566,175.5
-123.003708,38.713564,175.6
-123.003704,38.713562,175.7
-123.003699,38.713559,175.8
-123.003691,38.713558,175.9
